,station,latitude,longitude,Mean,Std,V0,V1,V2
0,USC00507570,60.2036,-154.3164,8.53653846154,10.453708007,142.7904127,-52.9179906657,-31.4623216564
1,NOE00135018,59.23,10.3481,14.4945454545,7.97440036348,57.6794345843,-51.2284437805,-21.3355586917
2,KZ000036546,48.55,83.683,7.22051282051,14.8973096777,59.0137635667,29.1352885254,-9.62227367375
3,USC00054664,40.0575,-106.3681,18.5768595041,10.7901145478,26.5610910927,13.3777408637,-27.3657086184
4,CUW00011706,19.9,-75.15,31.325,1.58928633165,-314.711752847,-25.2157785435,9.85655726573
5,KG000036982,41.883,78.233,-12.5,2.5,4.05271864124,2.72522462244,-4.37179415526
6,SZ000002220,47.25,9.35,2.41785714286,6.69024095079,227.658350316,-159.110131211,19.2599894803
7,RSM00028275,58.15,68.25,4.01510989011,14.0804894723,254.836035321,-3.53004927631,-40.2177208972
8,USC00488705,44.4122,-104.3567,12.1381868132,11.8912401043,91.428757749,2.91418177551,1.70200213625
9,USC00116558,39.0028,-87.6225,1.25714285714,2.96641059814,0.882322726232,0.645671797986,-0.308498987466
10,USC00203991,46.4833,-87.8667,8.44776536313,13.2180713876,167.425726162,10.8850615068,19.0690192802
11,UPM00033536,49.017,25.8,23.625,3.25297940356,-0.0731675924138,-0.0928882168123,-0.261705437656
12,USC00424508,37.0286,-112.5367,21.649859944,9.97222086879,-84.674595953,46.7111293813,-6.17644104936
13,USC00263957,40.6564,-118.1631,21.0912790698,11.8595626509,-58.8420031084,69.6862381326,-0.0725143702542
14,RQW00011603,18.4981,-67.1294,29.2582417582,1.45241866743,-278.751305417,-42.1301884806,8.03911432198
15,USS0019F01S,43.95,-119.55,9.55041551247,9.6873167841,123.557983978,-52.2662582452,14.3057409617
16,MR000001421,20.52,-13.07,35.8618131868,5.38228147306,-374.983769622,58.305878216,-16.5463867496
17,USC00325754,46.3911,-97.2392,13.0202216066,14.5619873212,95.0103876629,58.0551481817,28.4163468501
18,USC00041731,40.8667,-123.5833,22.7351648352,8.63625597586,-118.973983524,24.6892913155,-29.4047496053
19,ASN00033045,-21.1706,149.1794,26.965,2.87095560939,-259.482655018,-114.747182235,-11.1473368
20,CA006107003,45.43,-76.65,11.2488764045,13.0041663106,118.740435515,26.9534113087,-12.6703983063
21,CA008102000,47.47,-68.23,16.7,0.0,0.193125554754,-0.381497405271,0.204653180294
22,USW00014814,45.0606,-83.4281,12.101396648,11.7856376591,93.5827092834,11.4857637185,6.97811546238
23,RQC00665807,18.4308,-66.4661,30.3532967033,2.06264929127,-295.889790439,-27.7717630162,1.06616563665
24,USC00238082,37.6967,-93.7722,21.5292397661,9.23288484602,-73.8520089271,25.4386220801,20.2517223718
25,USC00043113,38.7,-121.1667,22.5401098901,9.79484816306,-105.683376353,47.1369964009,-27.6512426821
26,CA006164297,44.47,-78.23,11.103030303,13.4192623638,123.47176598,29.1597370281,20.880562762
27,TH000048501,11.767,102.883,31.0848901099,1.43155845263,-320.442558034,-51.9367621399,-7.4867707824
28,USC00231822,40.2394,-94.6833,16.8706043956,12.2037392337,8.6166228101,44.8166193239,12.6203556157
29,RSM00022324,66.683,34.35,4.67106017192,11.2559106037,215.155669299,-52.1712919816,0.0174073667955
30,TX000038804,38.567,63.183,10.9321428571,7.41899365391,-4.59621611495,-2.44223676558,5.26608206465
31,CA007024615,46.33,-71.98,8.5446685879,12.4014335925,153.08255283,13.7404474001,-17.699301217
32,USC00035820,36.2642,-90.9683,22.8950549451,11.6148506562,-99.6659397971,81.4337536237,5.54945713786
33,USC00398494,44.5667,-102.6667,15.2645604396,13.488769528,46.4464900931,51.9927706633,36.8222642483
34,CA001122541,50.17,-120.2,14.3822580645,10.6568094873,51.2835827795,-1.57925135438,-24.9522473443
35,CA001037650,50.0,-127.42,11.4296703297,3.86462526809,53.2489799774,-129.458667906,18.0473446866
36,USC00255925,42.6008,-99.3333,15.5024725275,14.0334517711,39.6003314267,48.4145600061,-2.49173789364
37,CA007050240,46.75,-70.53,9.68104395604,12.6830919727,145.656051838,11.8056171839,3.52548916051
38,CA006155183,43.32,-79.97,11.7117647059,11.089708125,86.2811941944,-2.08173431985,40.9757653851
39,USC00240375,46.6456,-112.2656,12.8556473829,10.4930720845,67.1071084821,-20.5698320363,-26.4273382349
40,USC00111836,40.6211,-89.2414,15.8322674419,11.2427226891,24.4882758186,22.4136041523,-4.70844940335
41,USC00215400,45.1219,-95.9269,12.5137362637,13.7626815963,99.7986945023,41.7806181241,15.5534648064
42,USC00419275,30.5525,-104.6467,29.2901869159,4.66817090424,-68.5043736244,63.9605760096,-52.5026468004
43,CA007070456,46.85,-73.65,10.0922651934,12.2979536481,131.081579213,0.881927935246,7.53376557429
44,USC00138704,42.5167,-92.3333,15.5263736264,11.6401359945,31.0727740864,28.4247107581,-0.863252709339
45,CA004063560,55.533,-102.35,4.49567723343,13.9729817013,233.15377336,-8.69422342842,-36.9517506536
46,USW00093990,39.3756,-99.8297,19.4821428571,12.140796488,-39.5949754023,56.1384293988,2.16514687185
47,USW00025506,59.7494,-154.9089,3.84325068871,11.1738270243,227.632552293,-76.2838532226,-18.261300077
48,CH000057515,29.583,106.467,20.832967033,9.16925770175,-76.0928224946,33.2672035568,-2.33530746059
49,USC00044838,41.7019,-121.5011,17.3739130435,10.3353993097,-8.12487364528,15.4517854,-15.2796502166
50,USC00215842,45.305,-94.9392,10.6447802198,14.1232992832,134.535755059,39.5387296725,27.4430793087
51,USC00299857,34.3167,-104.7333,24.1696078431,8.6502724565,-107.926279629,37.9692832034,-28.512102369
52,USC00383109,34.1667,-79.8333,27.1921933086,8.38216233291,-86.8956880997,73.743420275,33.7648806313
53,USC00057167,38.0392,-103.6933,22.6233516484,11.4736022289,-97.0609570252,74.9852545541,-9.36158886601
54,USC00230856,39.3447,-91.1711,18.8462184874,11.5267059773,-25.5435562243,51.3085544615,-6.99530028207
55,USC00450008,46.9658,-123.8292,15.2260989011,6.11638990261,-2.94977015772,-73.501731674,11.3474155632
